# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/Bpertusis_tohamaI.fna" "-T" "16" "-a" "data/00ref/Bpertusis_tohamaI.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam
BP_RS04820	NC_002929.2	1008004	1008708	+	705	27.41	9.78	17.29	20.80	11.87	18.80	22.32	3.64	17.32	16.25	6.52	12.59	7.06	22.28	22.88	10.97	20.74	22.92	12.42	20.00	24.75	10.48	15.01	14.01	18.71	7.37	18.99	18.15	14.60	1.20	12.84	9.20	8.21	15.31	12.28	13.07
BP_RS04825	NC_002929.2	1008772	1009710	+	939	12.31	12.15	28.87	22.23	12.55	20.28	26.67	8.48	15.97	18.71	12.76	28.45	18.53	32.14	21.39	7.62	17.16	15.96	18.32	23.28	19.67	10.27	14.22	22.09	18.40	6.97	23.12	20.33	18.85	11.76	26.42	17.74	23.51	18.69	18.41	18.46
BP_RS04830	NC_002929.2	1009763	1011009	+	1247	17.61	15.28	21.23	34.75	17.03	14.39	10.41	3.32	16.55	8.07	13.72	11.04	11.60	19.88	11.39	7.83	23.11	20.09	14.99	20.04	18.44	11.62	14.80	23.81	19.64	14.23	30.12	15.04	13.44	5.55	19.78	22.15	13.75	12.16	19.32	19.86
BP_RS04835	NC_002929.2	1011198	1012472	+	1275	2548.47	1745.01	3832.81	5105.73	2288.50	1974.23	2589.89	435.72	3469.90	2708.93	1298.38	2724.33	2019.29	5306.76	3965.99	802.73	3964.73	2080.65	2596.25	3144.82	3519.33	1178.85	1539.28	3052.90	3044.98	1477.35	4959.64	1867.98	4113.08	460.94	2421.03	1980.27	2155.40	2340.56	2204.11	1742.76
BP_RS04840	NC_002929.2	1012626	1013006	+	381	117.02	101.12	166.12	201.39	96.18	104.86	91.27	66.39	133.25	176.31	85.43	151.36	158.25	202.40	186.27	133.06	153.28	166.24	111.02	133.15	144.48	62.38	68.46	152.75	100.46	90.96	147.06	122.67	104.12	45.82	124.24	85.06	80.50	84.68	153.48	80.70
BP_RS04845	NC_002929.2	1013014	1013886	-	873	196.62	188.07	233.24	154.26	103.58	79.97	177.87	110.00	265.06	114.18	57.48	106.73	89.76	301.95	235.67	169.34	133.07	127.34	108.20	227.53	311.48	39.56	129.03	138.56	90.66	76.75	263.31	183.00	215.41	25.73	210.38	149.82	161.97	79.68	89.03	64.24
BP_RS04850	NC_002929.2	1014192	1014572	+	381	2183.57	2689.61	3790.12	3972.71	1690.47	1656.62	1729.23	983.87	2175.62	2821.41	1229.87	2537.86	1990.69	2892.72	2136.10	1134.57	2704.19	2326.35	1698.85	2733.58	2759.76	1124.57	1369.91	3035.72	1453.16	1321.75	2308.30	1938.24	1564.57	789.52	3043.41	1685.59	1815.30	2082.44	1781.98	2083.87
BP_RS04855	NC_002929.2	1014783	1015508	+	726	366.27	341.17	542.98	480.56	358.14	277.24	295.89	109.93	412.02	375.99	158.32	330.05	310.31	476.09	381.85	177.13	481.98	455.09	318.47	321.28	453.22	160.93	170.01	358.02	286.97	192.93	385.82	276.00	285.70	107.34	348.65	238.06	278.51	288.06	346.23	307.60
BP_RS04860	NC_002929.2	1015610	1016659	+	1050	276.87	280.90	372.94	290.75	236.40	191.70	261.21	122.19	341.81	268.29	131.53	284.14	195.46	403.45	353.20	194.29	315.79	274.52	247.16	307.96	320.34	134.58	153.81	334.65	205.68	220.88	330.54	264.65	256.06	62.35	279.69	266.80	195.54	166.78	194.98	198.68
BP_RS04865	NC_002929.2	1016797	1017813	-	1017	26.85	20.05	34.06	41.44	24.56	24.16	25.40	17.46	36.20	34.51	19.53	29.79	22.63	49.48	35.03	31.00	40.18	40.79	38.30	38.64	38.49	20.21	25.04	42.96	28.80	28.69	41.47	36.70	33.72	9.71	24.59	23.35	23.00	26.98	38.82	32.23
BP_RS04870	NC_002929.2	1018070	1019249	-	1180	164.97	114.70	209.80	196.43	102.62	119.96	112.60	62.19	164.70	120.93	89.83	141.58	111.40	233.28	201.97	134.03	199.56	227.75	164.81	177.12	234.62	80.19	104.56	202.21	159.80	153.38	233.00	162.71	169.64	44.80	134.05	124.03	116.86	87.57	183.32	116.74
BP_RS04875	NC_002929.2	1019322	1019894	-	573	207.67	173.19	291.72	283.83	176.09	180.20	143.99	78.32	250.45	195.52	124.65	209.13	152.91	302.11	230.42	140.57	240.97	260.51	221.69	179.54	231.94	113.89	109.51	253.73	185.11	188.98	245.99	180.39	207.32	50.62	193.52	157.28	148.33	152.32	215.97	155.73
BP_RS04880	NC_002929.2	1019954	1020685	+	732	437.20	386.50	601.00	599.19	381.15	384.16	315.60	211.38	497.03	525.42	218.54	528.48	600.63	601.84	507.69	282.44	648.91	688.22	497.42	461.00	552.56	224.07	281.90	624.64	432.85	395.99	407.35	376.69	344.22	107.77	374.99	324.87	308.99	315.96	546.63	337.81
BP_RS04885	NC_002929.2	1020737	1021672	-	936	237.59	206.86	276.04	233.36	148.25	144.97	179.38	67.39	219.51	217.14	112.86	135.60	141.04	246.22	235.29	105.03	225.45	324.89	193.31	204.79	249.85	101.41	152.73	208.65	186.24	135.78	238.37	219.23	201.68	51.06	215.94	160.55	169.41	139.85	225.99	125.71
BP_RS04890	NC_002929.2	1021905	1022375	+	471	1368.45	1382.27	2169.52	2956.18	1561.81	1659.42	1056.44	887.55	1645.38	2297.90	1109.31	1874.11	1912.79	1843.30	1436.46	1277.15	2671.26	2669.73	2007.20	1699.71	1757.09	1056.72	886.86	2550.97	1715.40	1460.64	1492.79	1332.01	958.60	634.42	1633.89	1081.52	1018.07	1520.55	2260.01	1487.20
BP_RS04895	NC_002929.2	1022462	1025641	+	3180	1884.81	1980.09	2916.78	3358.07	2085.80	2084.85	1360.23	987.80	2162.52	2831.42	1660.59	2494.93	2109.70	2477.73	1736.04	1270.45	3563.31	2875.71	2549.62	2099.05	2301.34	1724.39	1192.07	2812.07	2373.08	1957.49	2114.75	1620.29	1281.85	979.32	2579.11	1667.39	1577.88	2329.50	2559.91	2337.97
BP_RS04900	NC_002929.2	1025638	1027020	+	1383	696.04	724.71	1068.51	1421.65	917.02	842.88	598.26	434.91	981.50	1282.58	625.13	1128.51	994.18	1057.42	876.49	667.26	1621.65	1516.67	1203.40	853.19	995.03	553.02	480.47	1544.60	1103.60	973.52	895.34	642.32	587.68	308.39	705.28	531.63	509.00	764.37	1208.11	740.02
BP_RS04905	NC_002929.2	1027090	1027341	-	252	323.08	275.25	469.44	330.86	192.96	181.64	290.56	193.25	441.95	236.67	147.83	165.88	202.33	518.21	433.82	262.46	256.08	222.83	225.56	375.61	478.42	135.43	257.58	255.15	183.33	191.64	543.86	434.72	340.68	76.50	354.76	303.62	329.92	158.93	208.14	188.95
BP_RS04910	NC_002929.2	1027487	1028101	-	615	349.36	363.60	546.86	484.40	287.08	282.20	317.17	187.87	384.39	361.86	209.20	367.49	330.37	523.53	449.27	311.26	491.96	421.32	398.31	368.76	465.85	201.81	238.65	409.00	292.23	258.73	452.34	385.87	317.27	111.79	458.04	283.76	288.01	272.35	368.14	262.78
BP_RS04915	NC_002929.2	1028288	1030402	-	2115	692.24	665.75	1119.43	900.03	448.79	470.86	461.60	329.34	753.70	590.68	329.94	592.53	568.89	1120.84	1006.07	687.37	721.04	800.92	719.86	760.18	728.61	368.34	418.65	961.15	736.79	745.67	802.11	771.22	675.01	176.13	680.32	586.28	559.04	484.69	923.09	577.08
BP_RS04920	NC_002929.2	1030478	1031329	-	852	280.00	262.09	440.97	254.18	174.45	159.05	228.87	137.56	390.56	217.87	125.12	201.29	184.79	485.52	364.74	381.88	297.67	368.34	280.02	354.44	389.97	134.16	196.58	279.03	222.17	258.72	407.20	345.02	277.16	70.33	301.33	247.18	211.10	165.08	321.46	231.61
BP_RS04925	NC_002929.2	1031326	1031952	-	627	213.07	176.44	298.83	131.33	87.17	103.24	140.61	92.82	161.06	90.65	75.50	116.38	82.32	265.80	175.63	165.46	128.37	170.94	148.95	189.29	210.86	107.01	139.46	155.81	126.66	107.51	237.68	180.26	158.85	41.08	214.51	172.38	168.58	114.78	174.32	136.15
BP_RS04930	NC_002929.2	1031949	1033703	-	1755	318.36	306.62	437.00	274.26	232.43	215.36	259.46	204.28	372.82	244.51	127.65	208.43	188.68	539.34	429.57	275.05	323.70	338.15	272.25	340.69	378.01	139.48	186.61	287.40	267.52	216.42	415.98	359.74	310.75	60.15	325.14	263.82	256.29	146.05	302.50	181.45
BP_RS04935	NC_002929.2	1033996	1036701	+	2706	1195.17	1117.32	1830.93	1352.17	781.62	750.94	879.66	591.52	1164.51	923.64	586.48	887.10	713.36	1554.35	1450.08	884.67	1333.75	1398.81	1044.04	1189.19	1216.83	681.38	717.70	1125.92	1055.42	1138.39	1282.38	1217.86	1012.09	337.87	1236.53	861.80	792.20	786.45	1460.43	779.27
BP_RS04940	NC_002929.2	1036714	1038375	+	1662	874.19	908.03	1273.12	1200.48	546.61	591.85	837.98	633.03	1196.48	793.58	466.68	715.05	618.50	1652.61	1366.46	955.61	1069.50	1096.32	897.13	1259.35	1260.37	570.69	707.65	956.16	785.63	853.06	1277.07	1178.24	956.90	273.80	930.33	674.43	707.11	577.74	1102.36	714.09
BP_RS04945	NC_002929.2	1038388	1040178	+	1791	1216.35	1169.40	1716.93	1701.69	675.07	804.84	923.89	804.83	1482.14	983.90	604.24	929.10	886.06	2075.31	1666.45	1253.27	1424.10	1526.00	1088.44	1519.63	1551.54	677.77	824.56	1335.05	1042.95	1190.09	1451.24	1405.05	1087.30	333.46	1328.52	990.90	899.56	800.32	1558.83	932.41
BP_RS04950	NC_002929.2	1040400	1041575	-	1176	47.02	35.02	67.60	43.16	40.84	42.50	38.16	17.56	61.67	41.75	29.27	36.44	33.17	70.63	50.09	18.39	51.03	61.05	45.66	41.59	48.41	31.52	22.30	56.32	41.27	33.43	61.01	35.25	49.38	12.74	43.93	44.46	56.30	32.24	44.73	35.06
BP_RS04955	NC_002929.2	1041618	1042568	-	951	8.73	13.24	11.61	12.53	10.51	5.92	13.06	1.54	17.40	8.31	5.99	7.29	4.85	18.54	23.92	2.79	9.31	8.42	6.07	13.66	10.68	6.98	4.94	8.48	6.38	4.89	10.60	8.62	11.73	3.29	7.23	10.12	7.93	8.47	10.86	9.02
BP_RS04960	NC_002929.2	1042667	1043407	-	741	112.47	89.93	163.21	137.65	89.52	115.90	83.42	72.60	130.44	109.69	64.26	113.84	117.82	166.69	139.70	107.14	165.45	148.50	152.83	135.28	158.29	68.07	57.07	166.88	109.92	122.72	130.73	110.84	93.69	32.40	107.76	95.00	83.61	68.85	130.34	94.98
BP_RS04965	NC_002929.2	1043602	1045638	+	2037	4389.03	4528.04	6950.31	4833.99	3046.04	3286.30	3425.16	1962.99	4596.39	4626.74	1999.21	4016.99	4077.68	5934.23	5385.49	3692.73	5159.13	4965.48	4196.37	5314.37	5791.11	1922.99	2788.25	4828.64	3420.05	3371.30	4925.45	4676.56	3807.89	1077.73	4647.88	3783.41	3313.55	2997.94	4703.74	2835.76
BP_RS04970	NC_002929.2	1045656	1046666	+	1011	1564.73	1847.85	2572.22	1382.76	748.94	754.35	976.80	906.42	1373.72	1057.67	704.22	1008.21	847.80	1845.03	1357.12	1068.44	1291.85	1083.70	916.01	1362.55	1496.42	690.21	871.18	1099.87	776.45	758.84	1450.63	1331.59	1011.32	424.63	2055.14	1298.50	1359.03	926.25	1237.34	1021.58
BP_RS04975	NC_002929.2	1046784	1047977	+	1194	1187.30	1039.42	1759.73	929.59	594.88	596.88	796.57	356.75	1217.05	761.56	409.22	763.35	692.66	1546.11	1290.87	646.71	910.18	966.42	840.15	1106.16	1233.93	414.06	569.95	936.41	632.90	560.24	1215.85	901.06	890.20	236	1123.37	812.58	905.57	606.88	973.30	698.35
BP_RS04980	NC_002929.2	1048007	1048780	-	774	25.89	37.18	64.91	49.22	27.91	27.62	15.26	14.50	47.41	46.60	9.11	35.29	46.11	41.65	30.47	23.04	59.44	51.82	36.35	28.56	33.73	16.28	17.61	52.13	30.87	42.31	26.81	33.12	33.11	10.64	44.46	18.57	23.54	15.51	53.04	23.17
BP_RS04985	NC_002929.2	1048777	1049967	-	1191	72.57	84.09	130.26	106.00	92.76	76.47	68.16	26.62	87.66	115.36	52.62	118.14	68.20	114.85	83.88	42.08	117.72	135.28	78.91	90.43	88.45	60.80	33.18	89.95	100.71	59.89	101.80	82.39	64.89	14.83	97.50	54.44	58.75	78.27	127.41	60.70
BP_RS04990	NC_002929.2	1049993	1050931	-	939	117.74	83.92	125.95	220.77	106.45	111.23	64.79	31.21	121.81	144.01	49.56	115.74	125.12	125.29	124.71	67.45	151.75	150.20	90.48	86.92	111.61	45.34	49.19	149.20	125.27	130.40	90.96	93.02	76.29	24.62	111.42	58.75	61.53	63.64	129.76	73.51
BP_RS04995	NC_002929.2	1050928	1053276	-	2349	133.45	172.11	297.26	249.51	160.43	166.20	109.75	63.37	153.02	248.21	86.80	215.88	183.17	201.02	126.53	74.09	285.28	262.95	175.44	131.83	114.73	94.76	79.12	216.26	193.15	181.78	148.17	111.87	105.90	56.10	208.33	116.86	111.31	131.96	232.61	136.38
BP_RS05000	NC_002929.2	1053431	1054072	-	642	180.13	194.73	353.67	169.07	127.39	136.15	126.60	103.19	242.11	152.48	71.12	146.88	124.81	288.70	230.73	218.38	216.95	299.09	223.79	163.43	282.64	84.92	106.82	185.93	185.48	163.19	218.01	227.72	152.16	30.43	187.71	158.78	136.17	97.95	187.15	100.96
BP_RS19640	NC_002929.2	1054176	1054361	-	186	34.51	30.03	43.97	38.57	29.58	21.50	22.75	13	32.86	20.86	11.27	17.51	33.53	36.51	42.09	13.49	41.62	25.33	40.79	46.37	31.56	21	22.90	35.96	36.40	17.52	35.91	22.86	35.21	6	37.37	20.77	30.58	19.90	42.35	33.29
BP_RS05005	NC_002929.2	1054362	1055309	-	948	9.40	12.00	11.89	12.74	9.31	6.12	12.96	3.05	16.66	10.31	5.62	7.48	5.58	18.94	25.09	3.47	8.91	10.20	6.39	15.42	11.18	6.34	5.45	9.93	7.15	4.11	10.49	8.93	12.04	2.91	8.51	8.50	8.12	10.63	11.00	10.64
BP_RS05010	NC_002929.2	1055402	1055554	-	153	11.83	13.10	21.54	15.32	8.83	16.21	8.97	3	16.17	17.81	2	14.42	7.17	18.02	8.84	4.05	13.54	18.33	15.28	8.00	21.43	8.08	6.38	13.33	11.75	9.17	7.45	15.88	12.44	3.50	16.67	17.22	15.06	10.27	15.14	10.17
BP_RS05015	NC_002929.2	1055586	1056134	-	549	181.72	199.87	345.96	310.61	213.27	196.32	235.45	32.05	140.00	195.16	66.46	146.82	84.92	242.60	211.45	45.05	266.99	171.59	136.72	144.93	260.86	67.67	76.92	177.02	203.38	79.07	191.91	104.81	161.59	25.72	104.91	90.60	130.53	172.38	158.52	128.58
BP_RS05020	NC_002929.2	1056153	1056638	-	486	44.12	36.06	71.30	62.81	47.54	32.98	43.21	38.98	87.59	39.28	29.87	36.90	42.30	72.22	66.56	53.64	57.70	58.74	54.56	45.80	60.54	31.12	19.50	64.98	62.97	42.16	87.68	49.57	34.91	9	65.73	44.28	39.11	23.35	64.86	34.90
BP_RS05025	NC_002929.2	1056816	1057754	+	939	285.13	256.19	503.33	456.86	278.47	270.64	294.38	165.75	388.29	339.31	123.04	315.33	268.80	613.88	578.93	313.76	406.49	491.48	377.93	348.61	457.60	173.00	186.21	479.19	412.20	338.97	471.17	429.95	436.88	75.34	229.54	230.26	204.94	199.06	510.72	249.17
BP_RS05030	NC_002929.2	1057757	1058074	+	318	91.75	89.57	138.15	101.82	39.94	59.12	79.69	72.02	90.85	59.44	41.86	59.55	47.12	148.69	132.14	99.02	94.01	93.31	82.02	109.01	101.94	42.38	68.07	115.52	101.73	101.01	121.94	109.21	90.87	15.10	67.48	57.98	65.42	52.96	111.47	91.62
BP_RS20145	NC_002929.2	1058120	1058758	+	639	107.49	92.43	174.82	146.12	74.79	108.26	77.49	50.97	129.97	120.54	53.10	108.24	123.87	190.98	169.32	112.54	127.12	128.96	125.74	112.99	127.28	64.79	85.27	172.86	110.16	117.10	159.06	129.40	108.35	34.50	123.42	93.88	88.75	91.92	140.65	106.17
BP_RS19775	NC_002929.2	1058735	1059064	+	330	125.31	87.70	156.39	148.06	88.25	83.13	119.63	67.50	190.80	126.73	50.03	115.39	121	239.12	167.57	149.54	161.16	179.54	131.33	164.51	156.89	63.71	80.70	248.60	146.16	109.96	205.07	150.64	124.06	29.19	93.24	90.91	96.58	75.02	162.72	97.33
BP_RS05040	NC_002929.2	1059085	1060560	-	1476	297.04	311.36	440.92	451.37	262.25	254.29	238.92	130.73	325.06	346.63	188.35	323.42	304.91	376.28	297.01	204.29	416.52	328.52	303.87	327.45	338.00	140.27	167.25	384.51	219.66	180.67	292.77	246.84	228.12	108.98	391.73	272.48	239.32	271.69	266.05	240.14
BP_RS05045	NC_002929.2	1060745	1061395	+	651	195.81	190.92	316.13	244.74	168.23	183.55	156.51	95.35	207.03	228.57	103.86	197.13	160.80	289.13	247.77	163.82	281.24	245.90	194.61	203.87	278.96	107.95	93.65	258.95	181.94	150.65	208.59	183.72	180.42	59.94	178.30	152.68	138.83	159.40	180.11	130.89
BP_RS05050	NC_002929.2	1061449	1061784	+	336	121.42	114.92	208.12	119.94	97.60	101.04	113.71	62.50	152.75	140.49	61.48	114.35	102.32	205.18	149.47	113.71	146.50	146.14	115.31	156.96	169.05	53.53	73.79	149.24	120.42	69.42	146.07	150.48	109.06	32.82	128.86	106.92	85.40	86.97	143.06	105.08
BP_RS05055	NC_002929.2	1061781	1062641	+	861	409.79	357.01	569.33	408.75	315.88	317.29	315.84	278.97	519.70	396.23	221.46	406.71	365.26	609.54	548.33	384.35	528.16	520.46	437.39	443.83	493.02	203.05	223.07	533.19	375.49	353.78	474.36	364.68	347.13	101.09	402.99	315.73	333.91	292.91	399.22	322.54
BP_RS05060	NC_002929.2	1062658	1062939	-	282	104.67	93.41	131.04	120.67	96.90	55.83	88.50	56.50	122.83	110.62	49.62	95.33	60.48	166.17	126.38	95.00	145.42	123.65	111.00	111.64	116.05	58.12	78.50	118.43	108.43	89.83	138.46	123.06	106.82	34.14	98.80	62.64	82.73	82.58	124.12	75.00
BP_RS05065	NC_002929.2	1063013	1063276	-	264	148.15	84.33	97.49	464.71	55.28	77.32	113.58	8.28	257.01	203.12	60.21	191.54	96.87	233.16	574.37	19.75	294.60	224.48	64.23	210.87	253.62	40.45	94.21	153.68	78.10	50.51	140.56	60.74	100.64	13.65	61.58	47.08	80.31	76.47	70.46	107.86
BP_RS05070	NC_002929.2	1063520	1064470	+	951	5.67	6.00	4.25	5.43	1.62	1.86	4.27	1.00	2.40	1.87	1.77	2.02	1.77	4.40	6.45	1.23	3.17	2.96	5.96	3.77	5.78	2.80	1.63	5.17	3.06	3.09	4.50	4.06	2.81	2.16	3.32	2.00	3.01	2.72	3.06	3.13
BP_RS05075	NC_002929.2	1064769	1065506	-	738	63.53	92.33	139.26	123.02	86.26	31.05	101.12	45.11	134.26	104.16	32.30	83.20	67.02	125.88	112.41	188.51	127.45	187.80	83.72	114.92	154.38	24.85	73.38	61.63	70.09	58.04	190.65	213.06	132.34	6.05	59.01	39.01	58.08	25.05	109.30	42.65
BP_RS05080	NC_002929.2	1065942	1066265	+	324	10.25	3.51	14.09	29.99	15.78	13.38	13.57	4.38	9.86	28.97	6	14.53	3.43	25.32	15.55	9.55	27.05	20.64	18.50	12.54	15.25	10.33	11.03	21.55	9.84	7.97	11.33	15.69	12.06	3	13.67	8.12	5.67	6.51	17.32	11.60
BP_RS05085	NC_002929.2	1066300	1066860	+	561	9.98	11.15	26.81	28.33	15.93	14.03	14.05	8.00	13.55	18.37	12.23	19.22	14.37	22.52	14.99	7.61	18.87	25.52	16.07	14.11	16.66	7.38	12.12	20.83	18.76	10.58	16.77	22.99	21.79	2.78	22.39	9.96	11.18	15.44	20.51	8.96
BP_RS05090	NC_002929.2	1066981	1067856	+	876	24.45	20.40	45.77	37.48	30.19	13.62	29.72	8.04	21.50	22.62	14.61	21.35	21.10	40.16	28.69	20.33	40.74	44.48	27.34	26.34	28.63	14.96	12.63	34.37	22.95	21.49	28.06	24.38	32.20	7.40	16.42	21.68	16.01	11.72	18.48	27.85
BP_RS05095	NC_002929.2	1067869	1068816	+	948	14.35	9.03	15.06	25.38	13.77	12.33	24.23	4.89	8.54	17.44	9.36	15.63	8.33	29.02	12.82	8.75	32.52	24.48	10.56	17.19	15.81	9.18	13.14	20.27	22.96	14.73	19.08	15.17	16.29	1.50	15.21	9.51	10.65	14.28	20.34	9.56
BP_RS05100	NC_002929.2	1068831	1069211	+	381	5.66	4.43	6.28	3.60	2.00	10.52	12.10	2.67	7.34	8.19	3.65	4.68	7.12	4.18	11.31	6.90	11.20	8.87	6.41	6.49	5.06	2.11	2.86	7.09	2.97	4.02	7.08	3.65	6.30	0.33	4.78	3.48	5.14	3.27	6.65	2.62
BP_RS05105	NC_002929.2	1069238	1071295	+	2058	23.82	27.21	40.58	47.77	29.24	31.16	23.62	3.14	26.90	31.19	14.11	27.16	16.82	37.10	35.17	18.70	30.97	35.17	22.49	30.09	30.39	14.13	23.55	38.05	28.26	17.14	37.54	32.90	29.22	5.66	21.60	20.95	21.00	14.84	25.97	12.03
BP_RS05110	NC_002929.2	1071310	1071810	+	501	13.88	11.06	21.20	14.39	9.66	17.03	12.85	6.67	18.92	14.47	10.33	16.68	16.92	29.06	14.74	9.08	11.26	16.63	13.15	13.98	14.53	1.83	9.81	17.38	17.32	11.92	18.16	22.02	13.60	2.81	17.54	16.31	18.62	13.20	9.08	12.28
BP_RS05115	NC_002929.2	1071884	1073590	+	1707	20.45	18.07	22.03	24.76	16.08	14.41	24.01	9.44	31.65	13.91	8.32	18.13	17.56	31.94	27.17	15.54	24.27	29.20	15.38	22.14	31.86	10.13	16.02	22.00	19.51	12.76	30.54	19.97	19.44	4.84	13.92	22.19	21.20	11.49	22.49	11.88
BP_RS05120	NC_002929.2	1073599	1074457	+	859	21.80	17.86	20.70	34.25	15.58	13.34	25.42	8.82	18.08	18.47	9.47	18.44	13.81	19.21	15.82	13.49	16.48	18.77	16.48	22.27	11.88	7.13	13.29	17.98	24.87	11.67	24.50	23.12	12.94	4.66	18.28	16.88	18.99	18.61	14.67	13.36
